"","date","rides"
"10",2017-12-19,6034
"294",2017-12-06,6136
"431",2017-12-22,4848
"768",2017-12-13,5979
"915",2017-12-21,5496
"1046",2017-12-18,5802
"1373",2017-12-23,3100
"1413",2017-12-04,6152
"1444",2017-12-01,6815
"1481",2017-12-31,2690
"1556",2017-12-10,3530
"1592",2017-12-25,668
"1684",2017-12-11,5987
"2011",2017-12-16,5212
"2030",2017-12-26,1914
"2389",2017-12-12,5912
"2401",2017-12-20,5881
"2448",2017-12-07,6168
"2545",2017-12-09,5458
"2649",2017-12-29,3914
"3019",2017-12-02,5921
"3225",2017-12-05,5990
"3231",2017-12-03,4203
"3334",2017-12-17,3703
"3416",2017-12-24,1514
"3571",2017-12-28,3458
"3679",2017-12-08,6610
"3979",2017-12-15,6306
"4195",2017-12-27,2851
"4465",2017-12-14,6259
"4483",2017-12-30,2762
"4555",2018-02-19,4685
"4577",2018-02-08,6145
"4717",2018-03-26,6161
"5123",2018-02-05,5692
"5263",2018-03-30,5757
"5286",2018-01-01,2975
"5737",2018-01-30,6141
"5810",2018-03-31,3849
"5904",2018-01-28,2868
"5911",2018-02-13,6299
"6131",2018-02-20,6239
"6143",2018-03-12,6246
"6200",2018-03-20,5932
"6274",2018-01-31,6220
"6351",2018-02-16,6362
"6507",2018-01-22,6203
"6629",2018-02-27,6628
"6670",2018-03-11,3262
"6709",2018-03-10,4267
"6898",2018-03-29,6595
"7090",2018-03-21,5915
"7156",2018-02-10,4034
"7180",2018-03-08,6366
"7306",2018-01-05,4950
"7397",2018-02-07,6122
"7548",2018-02-26,6095
"7631",2018-02-28,6415
"7665",2018-02-02,5482
"7764",2018-02-17,4036
"7965",2018-01-16,6119
"8094",2018-02-06,6126
"8412",2018-02-25,3115
"8417",2018-01-25,6422
"8495",2018-02-23,6140
"8934",2018-02-15,6580
"8984",2018-01-19,6115
"9717",2018-01-03,5192
"9753",2018-01-29,5971
"9754",2018-03-19,6181
"9894",2018-03-06,6108
"10085",2018-02-21,6356
"10209",2018-03-17,12323
"10327",2018-01-08,5895
"10443",2018-01-14,2628
"10704",2018-03-05,5846
"10918",2018-01-27,4126
"10921",2018-01-24,6277
"11256",2018-01-13,3324
"11867",2018-03-13,6428
"11935",2018-02-12,6060
"12007",2018-01-18,6192
"12137",2018-03-01,6366
"12165",2018-02-22,6435
"12199",2018-03-25,3098
"12412",2018-02-03,3607
"12890",2018-02-04,2592
"12951",2018-01-09,6000
"13003",2018-03-28,6436
"13007",2018-01-11,6061
"13133",2018-01-17,6054
"14031",2018-03-09,6161
"14078",2018-03-24,4013
"14182",2018-02-09,4556
"14333",2018-01-26,6122
"14389",2018-03-16,7108
"14431",2018-01-04,5224
"14499",2018-02-24,4195
"14520",2018-03-02,6261
"14581",2018-03-23,6135
"14596",2018-02-18,3414
"14849",2018-03-07,6183
"14937",2018-01-06,2835
"15012",2018-01-12,4451
"15025",2018-01-07,2291
"15031",2018-01-15,3715
"15035",2018-03-18,4506
"15603",2018-03-14,6516
"15645",2018-03-03,4228
"15720",2018-02-14,6430
"15780",2018-01-23,6361
"15896",2018-02-11,2913
"16063",2018-03-22,6099
"16129",2018-01-20,4348
"16384",2018-01-21,2928
"16452",2018-02-01,6171
"16728",2018-03-04,3056
"16824",2018-03-15,6663
"17396",2018-01-10,6003
"17403",2018-03-27,6337
"17476",2018-01-02,4448
"17949",2018-06-29,17567
"18019",2018-04-12,11968
"18094",2018-04-23,6270
"18153",2018-06-19,17728
"18422",2018-04-28,12071
"18510",2018-06-06,14825
"18943",2018-05-04,6686
"19015",2018-05-22,14268
"19282",2018-05-19,5100
"19441",2018-04-18,7041
