"","date","rides"
"61",2017-12-26,11094
"539",2017-12-01,12447
"672",2017-12-11,10136
"858",2017-12-12,9406
"1063",2017-12-25,7244
"1278",2017-12-18,10813
"1356",2017-12-29,10562
"1544",2017-12-22,9493
"1705",2017-12-31,7361
"1954",2017-12-16,8450
"1994",2017-12-10,8994
"2104",2017-12-07,10554
"2122",2017-12-24,6777
"2369",2017-12-15,11057
"2426",2017-12-03,9308
"2691",2017-12-19,10193
"2938",2017-12-27,11154
"3035",2017-12-02,8542
"3211",2017-12-06,9540
"3250",2017-12-28,11141
"3666",2017-12-17,9018
"3709",2017-12-14,10629
"3716",2017-12-30,8847
"3737",2017-12-21,9558
"3805",2017-12-13,9306
"3824",2017-12-04,9785
"3859",2017-12-20,9799
"3958",2017-12-09,8033
"3969",2017-12-08,11875
"4335",2017-12-23,7578
"4395",2017-12-05,9669
"4677",2018-02-20,10017
"4744",2018-03-22,10836
"4846",2018-03-28,10298
"5090",2018-01-12,8264
"5206",2018-02-04,7315
"5349",2018-01-07,7228
"5666",2018-01-25,9090
"5715",2018-01-16,7774
"5851",2018-03-21,9427
"5866",2018-01-14,6114
"5914",2018-01-04,8278
"5991",2018-02-12,10257
"6141",2018-03-01,9506
"6229",2018-02-26,10061
"6324",2018-03-16,13995
"6596",2018-01-08,9362
"6656",2018-02-16,11521
"7210",2018-03-07,9193
"7216",2018-02-17,7786
"7577",2018-03-11,9449
"7805",2018-01-01,8226
"7985",2018-02-14,8724
"8369",2018-01-11,7996
"8601",2018-03-15,12314
"8804",2018-02-22,9912
"8822",2018-01-18,7490
"9301",2018-03-09,10942
"9519",2018-03-05,9879
"9530",2018-02-09,9127
"9539",2018-03-24,8995
"9668",2018-02-10,7658
"9869",2018-03-04,8795
"10002",2018-01-22,9193
"10109",2018-02-23,10450
"10142",2018-03-03,8166
"10163",2018-02-25,8639
"10866",2018-02-07,8148
"10902",2018-03-23,11488
"10960",2018-01-05,8561
"10971",2018-01-19,8293
"11224",2018-02-24,7458
"11640",2018-03-02,10498
"11819",2018-03-19,10574
"11863",2018-01-30,8433
"11875",2018-03-06,9429
"11914",2018-03-14,9997
"11976",2018-01-06,6790
"12020",2018-03-12,10582
"12275",2018-02-27,9074
"12318",2018-02-08,10129
"12409",2018-01-28,8122
"12531",2018-02-19,10325
"12583",2018-03-31,7233
"12587",2018-02-03,6994
"12664",2018-03-30,10297
"12775",2018-03-13,9166
"12837",2018-01-15,7684
"13298",2018-03-08,10088
"13388",2018-03-27,10602
"13438",2018-01-02,9835
"13693",2018-03-29,11930
"13980",2018-01-03,9038
"14067",2018-02-28,8708
"14072",2018-02-06,8795
"14165",2018-03-20,9823
"14470",2018-02-21,9632
"14524",2018-02-01,8914
"14525",2018-03-10,8328
"14597",2018-03-26,11056
"14631",2018-01-27,7234
"14661",2018-03-17,8859
"14666",2018-01-24,8514
"14888",2018-02-13,8877
"14958",2018-01-26,10158
"14973",2018-01-31,8292
"15084",2018-02-18,8744
"15591",2018-01-23,8749
"15754",2018-01-10,8923
"15910",2018-01-29,9483
"15956",2018-01-13,6421
"16065",2018-02-02,9315
"16157",2018-03-18,9202
"16295",2018-01-21,6741
"16304",2018-01-09,8685
"16636",2018-02-15,10019
"16727",2018-02-11,8159
"16917",2018-03-25,10450
"16967",2018-02-05,9604
"17061",2018-01-17,6762
"17504",2018-01-20,6382
"17657",2018-06-02,9591
"17854",2018-04-29,10743
"18000",2018-05-03,11522
"18047",2018-05-22,12230
"18117",2018-04-13,12541
"18210",2018-04-10,9615
"18614",2018-06-26,10379
"18621",2018-06-10,11186
"18839",2018-06-15,13196
"18970",2018-06-18,11552
"19189",2018-04-19,11526
"19224",2018-04-03,9722
"19349",2018-06-01,13254
"19543",2018-04-25,10580
"19599",2018-06-19,11218
"19656",2018-04-02,10453
"20065",2018-05-19,9938
"20226",2018-05-01,10199
"20480",2018-04-27,12837
"20593",2018-04-14,8719
"20667",2018-05-23,12205
"20801",2018-05-11,12947
"20882",2018-06-12,11582
"20953",2018-06-29,14387
"21065",2018-06-06,12245
"21143",2018-04-08,8961
"22053",2018-04-09,10397
"22143",2018-06-13,11666
"22190",2018-04-26,11881
"22236",2018-06-08,14452
"22258",2018-04-06,10945
"22405",2018-05-04,12727
"22543",2018-05-14,11239
"22554",2018-06-25,12554
"22684",2018-04-11,10221
"22919",2018-04-17,10287
"22962",2018-06-22,13404
"23393",2018-05-07,12437
"23589",2018-05-30,10096
"23657",2018-04-28,9490
"23840",2018-06-03,11299
"23902",2018-06-09,10123
"23967",2018-04-30,11995
"24165",2018-05-25,14486
"24261",2018-05-29,12318
"24447",2018-06-28,13427
"24617",2018-06-24,11812
"24787",2018-05-12,9557
"24864",2018-05-24,13246
"25109",2018-05-28,13242
"25545",2018-05-02,9138
"25549",2018-04-07,8073
"25581",2018-06-14,12583
"26017",2018-04-15,9336
"26108",2018-04-04,10347
"26127",2018-04-12,11322
"26238",2018-06-04,11867
"26245",2018-04-20,12285
"26480",2018-05-05,9393
"26682",2018-05-10,13104
"26748",2018-06-17,11537
"26750",2018-06-21,11981
"26899",2018-06-30,9859
"26957",2018-05-17,12886
"27208",2018-05-20,10914
"27285",2018-04-22,10393
"27341",2018-06-05,12002
"27453",2018-05-09,10522
"27756",2018-06-07,13857
"27902",2018-06-11,12978
"27984",2018-04-16,10616
"28211",2018-05-08,11207
"28278",2018-05-06,10924
"28428",2018-05-26,11585
"28508",2018-05-16,11581
"28573",2018-06-23,10358
"28743",2018-04-23,11328
"28812",2018-05-18,13898
"28948",2018-04-01,9382
"28985",2018-06-27,12563
"29010",2018-05-27,9580
"29671",2018-04-05,11084
"29755",2018-05-15,12154
"29822",2018-05-13,11514
"29899",2018-05-21,12303
"29915",2018-06-16,9831
"30134",2018-04-18,10067
"30198",2018-04-24,10391
"30329",2018-05-31,12516
"30492",2018-06-20,12786
"30531",2018-04-21,8650
"33172",2018-07-01,9817
"33173",2018-07-02,11769
"33174",2018-07-03,11178
"33175",2018-07-04,10597
"33176",2018-07-05,11408
"33177",2018-07-06,12861
"33178",2018-07-07,10041
"33179",2018-07-08,12604
"33180",2018-07-09,12776
"33181",2018-07-10,11332
"33182",2018-07-11,12306
"33183",2018-07-12,13371
"33184",2018-07-13,15008
"33185",2018-07-14,10332
"33186",2018-07-15,12180
"33187",2018-07-16,11811
"33188",2018-07-17,11375
"33189",2018-07-18,12589
"33190",2018-07-19,15141
"33191",2018-07-20,15372
"33192",2018-07-21,10589
"33193",2018-07-22,11636
"33194",2018-07-23,12752
"33195",2018-07-24,12078
"33196",2018-07-25,11948
"33197",2018-07-26,13551
"33198",2018-07-27,14128
"33199",2018-07-28,10353
"33200",2018-07-29,11943
"33201",2018-07-30,12585
"33202",2018-07-31,11747
"37646",2018-08-01,13193
"37647",2018-08-02,14426
"37648",2018-08-03,14303
"37649",2018-08-04,10278
"37650",2018-08-05,11601
"37651",2018-08-06,12180
"37652",2018-08-07,10955
"37653",2018-08-08,12142
"37654",2018-08-09,14127
"37655",2018-08-10,16095
"37656",2018-08-11,10294
"37657",2018-08-12,11711
"37658",2018-08-13,11254
"37659",2018-08-14,11777
"37660",2018-08-15,11586
"37661",2018-08-16,12983
"37662",2018-08-17,14455
"37663",2018-08-18,10845
"37664",2018-08-19,11728
"37665",2018-08-20,11348
"37666",2018-08-21,12391
"37667",2018-08-22,11559
"37668",2018-08-23,13872
"37669",2018-08-24,13737
"37670",2018-08-25,10026
"37671",2018-08-26,11728
"37672",2018-08-27,12362
"37673",2018-08-28,9898
"37674",2018-08-29,11377
"37675",2018-08-30,13053
"37676",2018-08-31,15265
"42028",2018-09-01,10918
"42029",2018-09-02,9869
"42030",2018-09-03,12096
"42031",2018-09-04,14460
"42032",2018-09-05,10455
"42033",2018-09-06,11452
"42034",2018-09-07,12734
"42035",2018-09-08,9573
"42036",2018-09-09,11308
"42037",2018-09-10,12356
"42038",2018-09-11,10748
"42039",2018-09-12,11305
"42040",2018-09-13,13594
"42041",2018-09-14,14189
"42042",2018-09-15,9936
"42043",2018-09-16,11153
"42044",2018-09-17,12042
"42045",2018-09-18,9846
"42046",2018-09-19,10638
"42047",2018-09-20,13226
"42048",2018-09-21,14575
"42049",2018-09-22,9808
"42050",2018-09-23,11441
"42051",2018-09-24,12629
"42052",2018-09-25,10350
"42053",2018-09-26,11516
"42054",2018-09-27,14230
"42055",2018-09-28,15489
"42056",2018-09-29,9783
"42057",2018-09-30,11430
"46444",2018-10-01,11946
"46445",2018-10-02,11199
"46446",2018-10-03,12534
"46447",2018-10-04,16072
"46448",2018-10-05,17788
"46449",2018-10-06,12223
"46450",2018-10-07,11523
"46451",2018-10-08,12804
"46452",2018-10-09,11264
"46453",2018-10-10,11266
"46454",2018-10-11,12349
"46455",2018-10-12,14373
"46456",2018-10-13,9858
"46457",2018-10-14,11723
"46458",2018-10-15,12651
"46459",2018-10-16,11157
"46460",2018-10-17,11522
"46461",2018-10-18,14164
"46462",2018-10-19,14320
"46463",2018-10-20,9817
"46464",2018-10-21,11507
"46465",2018-10-22,12371
"46466",2018-10-23,10468
"46467",2018-10-24,10610
"46468",2018-10-25,13345
"46469",2018-10-26,14355
"46470",2018-10-27,9513
"46471",2018-10-28,10636
"46472",2018-10-29,11708
"46473",2018-10-30,9474
"46474",2018-10-31,9394
"50739",2018-11-01,11936
"50740",2018-11-02,13228
"50741",2018-11-03,8537
"50742",2018-11-04,10106
"50743",2018-11-05,11382
"50744",2018-11-06,9660
"50745",2018-11-07,10393
"50746",2018-11-08,12845
"50747",2018-11-09,14162
"50748",2018-11-10,8979
"50749",2018-11-11,10109
"50750",2018-11-12,9152
"50751",2018-11-13,10472
"50752",2018-11-14,10144
"50753",2018-11-15,11626
"50754",2018-11-16,13379
"50755",2018-11-17,9151
"50756",2018-11-18,9338
"50757",2018-11-19,10448
"50758",2018-11-20,11030
"50759",2018-11-21,12310
"50760",2018-11-22,7765
"50761",2018-11-23,9739
"50762",2018-11-24,12745
"50763",2018-11-25,14327
"50764",2018-11-26,12932
"50765",2018-11-27,13899
"50766",2018-11-28,10393
"50767",2018-11-29,11347
"50768",2018-11-30,11900
"55165",2018-12-01,7860
"55166",2018-12-02,9234
"55167",2018-12-03,10616
"55168",2018-12-04,9101
"55169",2018-12-05,9522
"55170",2018-12-06,11280
"55171",2018-12-07,12073
"55172",2018-12-08,8361
"55173",2018-12-09,9351
"55174",2018-12-10,10649
"55175",2018-12-11,9604
"55176",2018-12-12,9882
"55177",2018-12-13,11449
"55178",2018-12-14,11836
"55179",2018-12-15,8659
"55180",2018-12-16,9107
"55181",2018-12-17,10645
"55182",2018-12-18,10162
"55183",2018-12-19,10471
"55184",2018-12-20,10490
"55185",2018-12-21,10705
"55186",2018-12-22,8331
"55187",2018-12-23,7823
"55188",2018-12-24,7495
"55189",2018-12-25,7752
"55190",2018-12-26,12820
"55191",2018-12-27,11910
"55192",2018-12-28,11819
"55193",2018-12-29,10074
"55194",2018-12-30,10149
"55195",2018-12-31,8820
"59642",2019-01-01,9550
"59643",2019-01-02,10681
"59644",2019-01-03,10437
"59645",2019-01-04,9986
"59646",2019-01-05,8161
"59647",2019-01-06,8691
"59648",2019-01-07,9569
"59649",2019-01-08,8793
"59650",2019-01-09,9176
"59651",2019-01-10,10045
"59652",2019-01-11,10063
"59653",2019-01-12,7712
"59654",2019-01-13,8561
"59655",2019-01-14,9588
"59656",2019-01-15,8673
"59657",2019-01-16,8509
"59658",2019-01-17,9496
"59659",2019-01-18,11481
"59660",2019-01-19,6495
"59661",2019-01-20,8024
"59662",2019-01-21,9716
"59663",2019-01-22,8653
"59664",2019-01-23,9110
"59665",2019-01-24,8781
"59666",2019-01-25,9137
"59667",2019-01-26,6565
"59668",2019-01-27,8206
"59669",2019-01-28,7932
"59670",2019-01-29,7908
"59671",2019-01-30,4041
"59672",2019-01-31,5916
"63846",2019-02-01,9674
"63847",2019-02-02,6968
"63848",2019-02-03,8030
"63849",2019-02-04,10000
"63850",2019-02-05,8212
"63851",2019-02-06,8794
"63852",2019-02-07,9484
"63853",2019-02-08,9811
"63854",2019-02-09,7005
"63855",2019-02-10,8220
"63856",2019-02-11,9744
"63857",2019-02-12,8609
"63858",2019-02-13,8734
"63859",2019-02-14,10484
"63860",2019-02-15,11185
"63861",2019-02-16,7630
"63862",2019-02-17,6977
"63863",2019-02-18,10986
"63864",2019-02-19,9666
"63865",2019-02-20,8681
"63866",2019-02-21,10246
"63867",2019-02-22,10495
"63868",2019-02-23,6967
"63869",2019-02-24,8470
"63870",2019-02-25,10004
"63871",2019-02-26,8791
"63872",2019-02-27,8800
"63873",2019-02-28,9964
"68093",2019-03-01,10968
"68094",2019-03-02,7762
"68095",2019-03-03,9041
"68096",2019-03-04,9690
"68097",2019-03-05,9056
"68098",2019-03-06,9209
"68099",2019-03-07,10067
"68100",2019-03-08,10756
"68101",2019-03-09,7786
"68102",2019-03-10,9013
"68103",2019-03-11,10814
"68104",2019-03-12,8008
"68105",2019-03-13,9413
"68106",2019-03-14,11424
"68107",2019-03-15,14877
"68108",2019-03-16,8914
"68109",2019-03-17,9290
"68110",2019-03-18,10964
"68111",2019-03-19,9457
"68112",2019-03-20,9601
"68113",2019-03-21,10714
"68114",2019-03-22,11365
"68115",2019-03-23,8563
"68116",2019-03-24,9318
"68117",2019-03-25,10673
"68118",2019-03-26,9459
"68119",2019-03-27,9996
"68120",2019-03-28,10633
"68121",2019-03-29,11066
"68122",2019-03-30,7580
"68123",2019-03-31,9350
"72508",2019-04-01,11269
"72509",2019-04-02,10224
"72510",2019-04-03,10692
"72511",2019-04-04,11930
"72512",2019-04-05,12293
"72513",2019-04-06,8365
"72514",2019-04-07,10082
"72515",2019-04-08,12150
"72516",2019-04-09,10622
"72517",2019-04-10,8096
"72518",2019-04-11,11657
"72519",2019-04-12,11942
"72520",2019-04-13,8519
"72521",2019-04-14,7941
"72522",2019-04-15,11928
"72523",2019-04-16,10910
"72524",2019-04-17,10740
"72525",2019-04-18,12932
"72526",2019-04-19,11815
"72527",2019-04-20,8485
"72528",2019-04-21,11617
"72529",2019-04-22,12694
"72530",2019-04-23,10945
"72531",2019-04-24,10904
"72532",2019-04-25,11923
"72533",2019-04-26,12401
"72534",2019-04-27,8004
"72535",2019-04-28,10661
"72536",2019-04-29,11395
"72537",2019-04-30,9398
"76848",2019-05-01,10755
"76849",2019-05-02,12358
"76850",2019-05-03,13095
"76851",2019-05-04,9014
"76852",2019-05-05,10403
"76853",2019-05-06,11763
"76854",2019-05-07,10657
"76855",2019-05-08,11073
"76856",2019-05-09,12880
"76857",2019-05-10,14114
"76858",2019-05-11,10257
"76859",2019-05-12,11867
"76860",2019-05-13,12682
"76861",2019-05-14,11018
"76862",2019-05-15,11338
"76863",2019-05-16,12894
"76864",2019-05-17,13957
"76865",2019-05-18,9507
"76866",2019-05-19,11032
"76867",2019-05-20,13230
"76868",2019-05-21,11806
"76869",2019-05-22,12022
"76870",2019-05-23,13830
"76871",2019-05-24,14875
"76872",2019-05-25,10427
"76873",2019-05-26,9436
"76874",2019-05-27,11892
"76875",2019-05-28,13677
"76876",2019-05-29,11589
"76877",2019-05-30,12601
"76878",2019-05-31,13436
"81229",2019-06-01,8548
"81230",2019-06-02,11129
"81231",2019-06-03,11898
"81232",2019-06-04,11559
"81233",2019-06-05,11529
"81234",2019-06-06,13389
"81235",2019-06-07,14065
"81236",2019-06-08,9462
"81237",2019-06-09,11182
"81238",2019-06-10,12077
"81239",2019-06-11,11313
"81240",2019-06-12,12682
"81241",2019-06-13,14952
"81242",2019-06-14,13856
"81243",2019-06-15,8736
"81244",2019-06-16,10030
"81245",2019-06-17,8726
"81246",2019-06-18,7577
"81247",2019-06-19,8920
"81248",2019-06-20,13692
"81249",2019-06-21,12380
"81250",2019-06-22,6182
"81251",2019-06-23,5169
"81252",2019-06-24,6192
"81253",2019-06-25,6193
"81254",2019-06-26,8772
"81255",2019-06-27,12288
"81256",2019-06-28,13534
"81257",2019-06-29,9400
"81258",2019-06-30,9538
"85488",2019-07-01,12108
"85489",2019-07-02,10189
"85490",2019-07-03,12974
"85491",2019-07-04,11337
"85492",2019-07-05,9939
"85493",2019-07-06,9652
"85494",2019-07-07,13524
"85495",2019-07-08,13529
"85496",2019-07-09,12290
"85497",2019-07-10,11931
"85498",2019-07-11,13520
"85499",2019-07-12,14850
"85500",2019-07-13,9922
"85501",2019-07-14,11032
"85502",2019-07-15,12729
"85503",2019-07-16,11629
"85504",2019-07-17,11491
"85505",2019-07-18,12830
"85506",2019-07-19,15110
"85507",2019-07-20,9338
"85508",2019-07-21,10418
"85509",2019-07-22,13240
"85510",2019-07-23,11533
"85511",2019-07-24,11775
"85512",2019-07-25,13391
"85513",2019-07-26,14323
"85514",2019-07-27,9306
"85515",2019-07-28,11338
"85516",2019-07-29,11181
"85517",2019-07-30,11698
"85518",2019-07-31,13373
"89959",2019-08-01,15071
"89960",2019-08-02,13846
"89961",2019-08-03,10006
"89962",2019-08-04,11715
"89963",2019-08-05,12825
"89964",2019-08-06,11466
"89965",2019-08-07,12203
"89966",2019-08-08,13828
"89967",2019-08-09,14962
"89968",2019-08-10,9289
"89969",2019-08-11,10733
"89970",2019-08-12,11580
"89971",2019-08-13,11289
"89972",2019-08-14,11652
"89973",2019-08-15,12804
"89974",2019-08-16,13610
"89975",2019-08-17,9604
"89976",2019-08-18,10070
"89977",2019-08-19,13083
"89978",2019-08-20,10909
"89979",2019-08-21,11841
"89980",2019-08-22,13471
"89981",2019-08-23,14422
"89982",2019-08-24,9516
"89983",2019-08-25,10991
"89984",2019-08-26,11234
"89985",2019-08-27,10974
"89986",2019-08-28,10984
"89987",2019-08-29,12867
"89988",2019-08-30,14810
"89989",2019-08-31,11436
"94311",2019-09-01,10057
"94312",2019-09-02,13567
"94313",2019-09-03,11983
"94314",2019-09-04,10892
"94315",2019-09-05,11627
"94316",2019-09-06,11873
"94317",2019-09-07,9268
"94318",2019-09-08,10584
"94319",2019-09-09,11662
"94320",2019-09-10,10460
"94321",2019-09-11,10925
"94322",2019-09-12,13033
"94323",2019-09-13,15102
"94324",2019-09-14,10033
"94325",2019-09-15,11428
"94326",2019-09-16,12175
"94327",2019-09-17,10750
"94328",2019-09-18,11284
"94329",2019-09-19,13314
"94330",2019-09-20,14273
"94331",2019-09-21,9584
