"","date","rides"
"75",2017-12-08,7462
"114",2017-12-30,837
"398",2017-12-13,5828
"569",2017-12-11,5614
"579",2017-12-20,3072
"760",2017-12-01,7718
"959",2017-12-28,1575
"1031",2017-12-04,7800
"1187",2017-12-19,3306
"1376",2017-12-06,7813
"1471",2017-12-29,1472
"1493",2017-12-17,1321
"1567",2017-12-25,369
"1852",2017-12-15,5217
"1894",2017-12-27,1347
"2054",2017-12-05,7731
"2326",2017-12-02,2340
"2534",2017-12-31,800
"2884",2017-12-14,5493
"2975",2017-12-09,1947
"2996",2017-12-22,2334
"3006",2017-12-24,659
"3374",2017-12-07,7661
"3486",2017-12-18,3216
"3646",2017-12-16,1915
"4074",2017-12-12,5553
"4188",2017-12-26,1019
"4191",2017-12-23,997
"4225",2017-12-10,1285
"4242",2017-12-21,2718
"4423",2017-12-03,1645
"4610",2018-03-07,7467
"4645",2018-02-04,1085
"4694",2018-02-13,7493
"4842",2018-03-04,1397
"5089",2018-03-08,7258
"5186",2018-02-02,6829
"5329",2018-01-20,2216
"5465",2018-01-08,2800
"5468",2018-03-23,6685
"5499",2018-02-28,7501
"5552",2018-03-01,7118
"5948",2018-03-11,1376
"6046",2018-01-18,7420
"6155",2018-02-24,2185
"6162",2018-03-20,7017
"6252",2018-02-21,7634
"6330",2018-01-10,3168
"6744",2018-01-03,2249
"6752",2018-03-25,1430
"6793",2018-03-19,7067
"6808",2018-01-14,1218
"6827",2018-03-09,6909
"6869",2018-02-03,1769
"7083",2018-02-09,3640
"7183",2018-01-22,7505
"7504",2018-02-20,7203
"7520",2018-03-10,2061
"7679",2018-03-27,3200
"7712",2018-03-30,2701
"7848",2018-01-25,7505
"7859",2018-03-12,7260
"8525",2018-03-17,3027
"8632",2018-03-28,3198
"8648",2018-02-18,1362
"9131",2018-03-18,1532
"9695",2018-02-05,6982
"9747",2018-02-08,7342
"10097",2018-02-19,6488
"10305",2018-03-29,3085
"10476",2018-01-15,2004
"10536",2018-03-22,7000
"10853",2018-01-13,1361
"10936",2018-01-30,7324
"11497",2018-02-07,7438
"11698",2018-01-16,7476
"11767",2018-02-15,7412
"11919",2018-03-21,7270
"11955",2018-01-07,763
"12168",2018-03-05,7054
"12193",2018-03-03,1978
"12226",2018-03-31,1399
"12230",2018-02-01,7382
"12330",2018-01-21,1293
"12348",2018-02-22,7328
"12817",2018-02-14,7881
"13125",2018-03-15,7326
"13244",2018-03-14,7550
"13412",2018-02-26,7193
"13650",2018-01-26,7355
"13712",2018-01-23,7508
"13790",2018-02-25,1468
"13918",2018-02-12,7328
"14192",2018-02-10,1861
"14451",2018-03-02,6799
"14726",2018-01-09,3019
"14844",2018-03-13,7299
"14948",2018-02-17,1976
"15138",2018-02-27,7262
"15145",2018-01-12,2845
"15235",2018-02-23,7036
"15260",2018-01-28,1276
"15299",2018-01-31,7657
"15336",2018-01-29,7366
"15359",2018-01-19,7238
"15431",2018-01-04,2293
"15461",2018-03-24,1921
"15466",2018-01-02,1936
"15491",2018-01-27,2073
"15545",2018-01-05,2209
"15693",2018-01-17,7635
"15822",2018-03-26,3007
"16254",2018-02-11,1231
"16326",2018-03-16,7166
"16358",2018-03-06,7222
"16415",2018-01-24,7619
"16520",2018-01-01,657
"17096",2018-01-06,998
"17333",2018-02-16,7284
"17394",2018-02-06,7290
"17488",2018-01-11,3024
"17599",2018-04-25,7331
"17888",2018-05-20,1094
"18078",2018-06-04,3195
"18108",2018-04-11,7308
"18357",2018-04-12,7150
"18377",2018-06-21,3480
"18506",2018-05-18,3089
"18538",2018-04-24,7052
"18613",2018-04-06,6692
"18647",2018-06-27,3990
"18828",2018-06-08,3605
"18896",2018-04-04,7153
"19147",2018-06-20,3986
"19183",2018-06-11,3310
"19516",2018-04-14,1999
"19563",2018-04-08,1391
"19658",2018-04-16,6789
"20007",2018-06-15,3401
"20107",2018-06-22,3429
"20224",2018-06-09,1837
"20594",2018-06-12,3688
"20848",2018-05-11,5355
"21042",2018-05-10,5448
"21154",2018-05-29,3224
"21268",2018-06-02,1499
"21337",2018-05-21,3177
"21395",2018-04-05,6915
"21537",2018-04-26,7155
"21562",2018-06-03,1177
"21678",2018-06-19,3849
"21742",2018-04-19,7158
"22174",2018-05-31,3466
"22366",2018-04-22,1398
"22393",2018-05-27,1200
"22579",2018-06-14,3670
"22763",2018-04-07,2087
"23199",2018-06-24,1414
"23292",2018-06-06,3409
"23351",2018-05-14,3284
"23451",2018-05-07,5458
"23760",2018-06-30,1555
"23861",2018-04-20,6814
"23973",2018-04-15,1224
"24038",2018-05-04,6815
"24070",2018-05-12,1697
"24121",2018-04-21,1945
"24176",2018-05-13,1281
"24437",2018-06-07,3484
"24506",2018-05-09,5746
"24544",2018-04-09,6808
"25012",2018-05-06,1494
"25046",2018-06-01,3299
"25131",2018-06-29,3668
"25351",2018-06-26,3805
"25702",2018-06-18,3424
"25921",2018-05-17,3311
"25990",2018-05-05,2132
"26036",2018-04-18,7326
"26415",2018-06-16,1666
"26439",2018-05-25,3226
"26702",2018-06-25,3638
"26800",2018-05-08,5311
"26806",2018-04-03,6800
"26813",2018-06-28,3938
"26827",2018-05-03,6718
"26932",2018-06-10,1138
"27028",2018-05-22,3446
"27319",2018-04-02,6749
"27375",2018-05-30,3237
"27457",2018-04-23,6887
"27471",2018-04-17,7098
"27624",2018-04-01,1075
"27634",2018-05-19,1442
"27813",2018-04-10,7105
"27927",2018-04-13,6840
"28480",2018-05-28,1048
"28615",2018-04-30,7057
"28657",2018-04-27,6748
"28710",2018-05-26,1570
"28715",2018-04-28,2069
"28750",2018-06-17,1271
"28792",2018-06-05,3410
"28869",2018-05-16,3433
"28897",2018-06-23,1557
"29484",2018-06-13,3612
"29706",2018-05-23,3428
"30048",2018-05-15,3609
"30085",2018-05-24,3557
"30178",2018-05-01,7177
"30210",2018-05-02,7120
"30259",2018-04-29,1576
"31653",2018-07-01,1074
"31654",2018-07-02,3457
"31655",2018-07-03,3533
"31656",2018-07-04,1114
"31657",2018-07-05,3008
"31658",2018-07-06,3140
"31659",2018-07-07,1529
"31660",2018-07-08,1243
"31661",2018-07-09,3706
"31662",2018-07-10,3836
"31663",2018-07-11,4058
"31664",2018-07-12,3990
"31665",2018-07-13,3837
"31666",2018-07-14,1427
"31667",2018-07-15,1325
"31668",2018-07-16,3738
"31669",2018-07-17,3941
"31670",2018-07-18,3938
"31671",2018-07-19,3880
"31672",2018-07-20,3665
"31673",2018-07-21,1534
"31674",2018-07-22,1246
"31675",2018-07-23,3846
"31676",2018-07-24,4065
"31677",2018-07-25,4179
"31678",2018-07-26,3977
"31679",2018-07-27,3685
"31680",2018-07-28,1556
"31681",2018-07-29,1266
"31682",2018-07-30,3462
"31683",2018-07-31,3602
"36127",2018-08-01,3802
"36128",2018-08-02,3907
"36129",2018-08-03,3571
"36130",2018-08-04,1588
"36131",2018-08-05,1303
"36132",2018-08-06,3270
"36133",2018-08-07,3311
"36134",2018-08-08,3452
"36135",2018-08-09,3377
"36136",2018-08-10,3296
"36137",2018-08-11,1498
"36138",2018-08-12,1177
"36139",2018-08-13,3103
"36140",2018-08-14,3163
"36141",2018-08-15,3174
"36142",2018-08-16,3376
"36143",2018-08-17,3097
"36144",2018-08-18,1558
"36145",2018-08-19,1241
"36146",2018-08-20,3186
"36147",2018-08-21,3201
"36148",2018-08-22,3936
"36149",2018-08-23,4283
"36150",2018-08-24,4288
"36151",2018-08-25,3151
"36152",2018-08-26,2622
"36153",2018-08-27,8924
"36154",2018-08-28,8836
"36155",2018-08-29,9164
"36156",2018-08-30,9159
"36157",2018-08-31,8408
"40558",2018-09-01,1945
"40559",2018-09-02,1736
"40560",2018-09-03,1377
"40561",2018-09-04,8778
"40562",2018-09-05,9225
"40563",2018-09-06,8984
"40564",2018-09-07,8585
"40565",2018-09-08,2515
"40566",2018-09-09,1678
"40567",2018-09-10,9097
"40568",2018-09-11,9029
"40569",2018-09-12,9375
"40570",2018-09-13,9208
"40571",2018-09-14,8983
"40572",2018-09-15,2497
"40573",2018-09-16,1647
"40574",2018-09-17,9157
"40575",2018-09-18,8905
"40576",2018-09-19,9104
"40577",2018-09-20,9067
"40578",2018-09-21,8569
"40579",2018-09-22,2868
"40580",2018-09-23,1772
"40581",2018-09-24,9155
"40582",2018-09-25,9078
"40583",2018-09-26,9270
"40584",2018-09-27,9074
"40585",2018-09-28,8655
"40586",2018-09-29,2760
"40587",2018-09-30,1826
"44925",2018-10-01,9026
"44926",2018-10-02,8966
"44927",2018-10-03,9378
"44928",2018-10-04,9041
"44929",2018-10-05,8276
"44930",2018-10-06,2495
"44931",2018-10-07,7061
"44932",2018-10-08,8455
"44933",2018-10-09,9086
"44934",2018-10-10,9080
"44935",2018-10-11,8911
"44936",2018-10-12,8549
"44937",2018-10-13,2545
"44938",2018-10-14,1890
"44939",2018-10-15,8856
"44940",2018-10-16,8949
"44941",2018-10-17,9195
"44942",2018-10-18,9206
"44943",2018-10-19,8567
"44944",2018-10-20,2642
"44945",2018-10-21,1729
"44946",2018-10-22,8787
"44947",2018-10-23,8800
"44948",2018-10-24,9000
"44949",2018-10-25,8856
"44950",2018-10-26,8505
"44951",2018-10-27,2542
"44952",2018-10-28,1578
"44953",2018-10-29,8722
"44954",2018-10-30,8703
"44955",2018-10-31,8982
"49269",2018-11-01,8727
"49270",2018-11-02,8611
"49271",2018-11-03,2494
"49272",2018-11-04,1959
"49273",2018-11-05,8815
"49274",2018-11-06,8648
"49275",2018-11-07,8913
"49276",2018-11-08,8609
"49277",2018-11-09,8131
"49278",2018-11-10,2300
"49279",2018-11-11,1581
"49280",2018-11-12,8047
"49281",2018-11-13,8482
"49282",2018-11-14,8784
"49283",2018-11-15,8483
"49284",2018-11-16,8464
"49285",2018-11-17,2759
"49286",2018-11-18,1789
"49287",2018-11-19,8342
"49288",2018-11-20,8037
"49289",2018-11-21,6752
"49290",2018-11-22,1170
"49291",2018-11-23,1520
"49292",2018-11-24,1433
"49293",2018-11-25,1219
"49294",2018-11-26,6709
"49295",2018-11-27,8184
"49296",2018-11-28,8641
